symbol,epoch,close
R_100,09-05-2022 18:23:16,9154.98
R_100,09-05-2022 18:23:18,9149.32
R_100,09-05-2022 18:23:20,9145.44
R_100,09-05-2022 18:23:22,9144.97
R_100,09-05-2022 18:23:24,9147.31
R_100,09-05-2022 18:23:26,9144.59
R_100,09-05-2022 18:23:28,9142.05
R_100,09-05-2022 18:23:30,9142.5
R_100,09-05-2022 18:23:32,9142.4
R_100,09-05-2022 18:23:34,9142.04
R_100,09-05-2022 18:23:36,9140.16
R_100,09-05-2022 18:23:38,9140.4
R_100,09-05-2022 18:23:40,9139.33
R_100,09-05-2022 18:23:42,9143.11
R_100,09-05-2022 18:23:44,9141.49
R_100,09-05-2022 18:23:46,9138.29
R_100,09-05-2022 18:23:48,9136.33
R_100,09-05-2022 18:23:50,9132.34
R_100,09-05-2022 18:23:52,9132.79
R_100,09-05-2022 18:23:54,9133.16
R_100,09-05-2022 18:23:56,9133.88
R_100,09-05-2022 18:23:58,9137.08
R_100,09-05-2022 18:24:00,9134.1
R_100,09-05-2022 18:24:02,9135.38
R_100,09-05-2022 18:24:04,9136.36
R_100,09-05-2022 18:24:06,9134.63
R_100,09-05-2022 18:24:08,9134.53
R_100,09-05-2022 18:24:10,9138.03
R_100,09-05-2022 18:24:12,9135.9
R_100,09-05-2022 18:24:14,9135.06
R_100,09-05-2022 18:24:16,9135.84
R_100,09-05-2022 18:24:18,9135.77
R_100,09-05-2022 18:24:20,9138.05
R_100,09-05-2022 18:24:22,9138.81
R_100,09-05-2022 18:24:24,9139.27
R_100,09-05-2022 18:24:26,9139.32
R_100,09-05-2022 18:24:28,9139.98
R_100,09-05-2022 18:24:30,9141.14
R_100,09-05-2022 18:24:32,9139.48
R_100,09-05-2022 18:24:34,9141.84
R_100,09-05-2022 18:24:36,9143.72
R_100,09-05-2022 18:24:38,9141
R_100,09-05-2022 18:24:40,9139.89
R_100,09-05-2022 18:24:42,9140.46
R_100,09-05-2022 18:24:44,9141.84
R_100,09-05-2022 18:24:46,9140.35
R_100,09-05-2022 18:24:48,9135.87
R_100,09-05-2022 18:24:50,9132.45
R_100,09-05-2022 18:24:52,9128.85
R_100,09-05-2022 18:24:54,9131.55
R_100,09-05-2022 18:24:56,9127.15
R_100,09-05-2022 18:24:58,9126.86
R_100,09-05-2022 18:25:00,9123.17
R_100,09-05-2022 18:25:02,9121.97
R_100,09-05-2022 18:25:04,9119.08
R_100,09-05-2022 18:25:06,9116.47
R_100,09-05-2022 18:25:08,9119.43
R_100,09-05-2022 18:25:10,9119.8
R_100,09-05-2022 18:25:12,9120.14
R_100,09-05-2022 18:25:14,9117.02
R_100,09-05-2022 18:25:16,9117.49
R_100,09-05-2022 18:25:18,9116.81
R_100,09-05-2022 18:25:20,9117.43
R_100,09-05-2022 18:25:22,9115.42
R_100,09-05-2022 18:25:24,9114.39
R_100,09-05-2022 18:25:26,9116.25
R_100,09-05-2022 18:25:28,9118.37
R_100,09-05-2022 18:25:30,9123.07
R_100,09-05-2022 18:25:32,9121.38
R_100,09-05-2022 18:25:34,9119.11
R_100,09-05-2022 18:25:36,9120.18
R_100,09-05-2022 18:25:38,9120.4
R_100,09-05-2022 18:25:40,9119.97
R_100,09-05-2022 18:25:42,9117.37
R_100,09-05-2022 18:25:44,9114.06
R_100,09-05-2022 18:25:46,9116.03
R_100,09-05-2022 18:25:48,9116.4
R_100,09-05-2022 18:25:50,9114.78
R_100,09-05-2022 18:25:52,9113.39
R_100,09-05-2022 18:25:54,9115.81
R_100,09-05-2022 18:25:56,9117.62
R_100,09-05-2022 18:25:58,9114.59
R_100,09-05-2022 18:26:00,9113.64
R_100,09-05-2022 18:26:02,9113.05
R_100,09-05-2022 18:26:04,9114.33
R_100,09-05-2022 18:26:06,9114.92
R_100,09-05-2022 18:26:08,9115.45
R_100,09-05-2022 18:26:10,9114.83
R_100,09-05-2022 18:26:12,9113.54
R_100,09-05-2022 18:26:14,9109.17
R_100,09-05-2022 18:26:16,9110.46
R_100,09-05-2022 18:26:18,9112.37
R_100,09-05-2022 18:26:20,9111.99
R_100,09-05-2022 18:26:22,9108.68
R_100,09-05-2022 18:26:24,9112.83
R_100,09-05-2022 18:26:26,9109.32
R_100,09-05-2022 18:26:28,9108.83
R_100,09-05-2022 18:26:30,9110.49
R_100,09-05-2022 18:26:32,9108.21
R_100,09-05-2022 18:26:34,9109.06
R_100,09-05-2022 18:26:36,9109.57
R_100,09-05-2022 18:26:38,9110.98
R_100,09-05-2022 18:26:40,9114.54
R_100,09-05-2022 18:26:42,9111.25
R_100,09-05-2022 18:26:44,9111.68
R_100,09-05-2022 18:26:46,9112.05
R_100,09-05-2022 18:26:48,9113.09
R_100,09-05-2022 18:26:50,9112.3
R_100,09-05-2022 18:26:52,9110.99
R_100,09-05-2022 18:26:54,9112.82
R_100,09-05-2022 18:26:56,9117.78
R_100,09-05-2022 18:26:58,9117.73
R_100,09-05-2022 18:27:00,9112.71
R_100,09-05-2022 18:27:02,9107.19
R_100,09-05-2022 18:27:04,9107.52
R_100,09-05-2022 18:27:06,9106.41
R_100,09-05-2022 18:27:08,9107.2
R_100,09-05-2022 18:27:10,9105.72
R_100,09-05-2022 18:27:12,9103.41
R_100,09-05-2022 18:27:14,9101.92
R_100,09-05-2022 18:27:16,9099.65
R_100,09-05-2022 18:27:18,9101.74
R_100,09-05-2022 18:27:20,9100.96
R_100,09-05-2022 18:27:22,9101.5
R_100,09-05-2022 18:27:24,9099.78
R_100,09-05-2022 18:27:26,9104.43
R_100,09-05-2022 18:27:28,9098.93
R_100,09-05-2022 18:27:30,9096.95
R_100,09-05-2022 18:27:32,9099.96
R_100,09-05-2022 18:27:34,9097.88
R_100,09-05-2022 18:27:36,9099.5
R_100,09-05-2022 18:27:38,9099.32
R_100,09-05-2022 18:27:40,9097.25
R_100,09-05-2022 18:27:42,9096.93
R_100,09-05-2022 18:27:44,9096.04
R_100,09-05-2022 18:27:46,9093.92
R_100,09-05-2022 18:27:48,9095.9
R_100,09-05-2022 18:27:50,9098.3
R_100,09-05-2022 18:27:52,9100.85
R_100,09-05-2022 18:27:54,9098.59
R_100,09-05-2022 18:27:56,9098.8
R_100,09-05-2022 18:27:58,9099.16
R_100,09-05-2022 18:28:00,9098.42
R_100,09-05-2022 18:28:02,9099.05
R_100,09-05-2022 18:28:04,9099.85
R_100,09-05-2022 18:28:06,9099.58
R_100,09-05-2022 18:28:08,9101.89
R_100,09-05-2022 18:28:10,9107.93
R_100,09-05-2022 18:28:12,9109.61
R_100,09-05-2022 18:28:14,9110.37
R_100,09-05-2022 18:28:16,9112.43
R_100,09-05-2022 18:28:18,9111.9
R_100,09-05-2022 18:28:20,9110.37
R_100,09-05-2022 18:28:22,9107.86
R_100,09-05-2022 18:28:24,9108.89
R_100,09-05-2022 18:28:26,9106.76
R_100,09-05-2022 18:28:28,9102.76
R_100,09-05-2022 18:28:30,9100.98
R_100,09-05-2022 18:28:32,9100.99
R_100,09-05-2022 18:28:34,9102.7
R_100,09-05-2022 18:28:36,9103.99
R_100,09-05-2022 18:28:38,9105.1
R_100,09-05-2022 18:28:40,9105.37
R_100,09-05-2022 18:28:42,9108.02
R_100,09-05-2022 18:28:44,9105.49
R_100,09-05-2022 18:28:46,9106.66
R_100,09-05-2022 18:28:48,9107.06
R_100,09-05-2022 18:28:50,9111.76
R_100,09-05-2022 18:28:52,9110.16
R_100,09-05-2022 18:28:54,9112.63
R_100,09-05-2022 18:28:56,9109.09
R_100,09-05-2022 18:28:58,9107.74
R_100,09-05-2022 18:29:00,9109.1
R_100,09-05-2022 18:29:02,9111.18
R_100,09-05-2022 18:29:04,9112.08
